27,1,10,0,10,0,8,2,49,1,53,0,10,0,10,0,8,2,20,2,24,3
27,0,8,2,6,6,6,4,45,0,47,0,8,4,7,7,4,9,24,0,23,1
25,5,8,1,6,2,4,6,40,0,62,0,8,2,7,4,4,10,19,2,26,1
32,0,10,1,10,0,7,2,42,0,63,0,8,1,10,0,5,5,20,1,32,0
31,0,10,0,8,1,2,8,39,1,55,0,10,0,8,2,1,9,21,1,27,0
22,0,10,0,8,2,5,1,43,1,73,0,10,0,9,1,2,1,22,2,34,0
30,0,3,2,4,3,5,5,40,0,62,0,6,2,3,5,5,3,19,3,14,1
33,0,7,2,9,2,6,3,44,0,77,0,6,3,9,4,3,8,23,1,38,1
17,0,6,1,7,1,6,5,32,1,37,0,8,2,5,2,5,9,13,3,29,1
44,0,6,1,3,1,4,4,51,2,67,0,5,1,5,1,4,5,20,5,27,5
23,1,8,3,6,6,5,4,31,0,50,1,5,5,6,3,5,6,15,1,15,3
41,0,8,3,8,2,7,3,41,2,77,0,7,3,8,3,6,4,25,1,29,2
23,2,6,3,4,5,7,6,36,2,43,0,6,4,4,4,7,7,20,0,19,4
27,0,5,1,6,0,0,7,42,1,53,0,6,2,6,0,3,7,17,7,25,1
21,1,10,5,8,2,5,5,44,0,56,0,9,1,9,1,4,6,22,0,22,1
22,0,10,1,6,2,5,4,40,0,37,0,10,1,6,0,3,5,22,0,27,0
41,2,9,1,8,0,3,3,42,3,68,0,8,1,7,1,4,4,24,0,32,1
25,0,10,0,10,0,9,2,42,0,69,0,10,0,10,0,4,4,23,0,33,0
16,1,9,1,8,2,5,7,51,6,58,0,7,2,5,2,7,12,18,8,27,0
30,0,7,0,10,0,5,3,40,0,52,0,5,0,10,0,7,0,21,2,26,0
24,3,8,0,6,1,3,5,34,1,64,0,7,1,5,3,3,5,21,0,31,0
28,0,8,2,5,3,7,3,39,2,77,0,8,2,5,3,3,7,21,1,36,2
30,0,9,0,10,0,10,0,34,0,45,0,9,1,10,1,7,2,19,1,21,2
35,0,8,1,10,0,6,7,45,0,61,0,8,4,10,2,4,12,22,1,33,0
22,3,8,2,5,2,3,5,39,0,54,0,7,3,4,4,5,8,21,0,26,1
24,0,10,0,9,1,3,7,40,0,65,0,10,0,9,1,5,6,22,1,29,1
34,4,8,1,10,0,5,2,38,1,62,0,7,2,8,1,0,0,21,4,22,2
40,0,7,1,7,0,3,2,42,1,72,0,5,2,6,1,2,3,15,0,37,0
24,1,9,0,4,1,2,4,32,1,51,0,9,0,5,1,2,1,20,0,25,1
35,0,6,1,8,2,2,1,40,2,28,0,5,2,7,4,0,2,21,4,26,1
40,1,8,0,8,0,6,3,38,0,62,0,8,0,8,0,5,3,23,0,30,0
25,0,8,0,9,2,0,1,40,0,66,1,6,0,6,0,1,1,22,1,44,1
47,1,6,1,5,2,2,4,45,2,73,0,7,0,4,4,4,3,26,4,35,0
45,0,6,2,7,2,3,7,46,0,71,0,6,2,7,2,2,8,24,0,30,4
23,0,6,0,8,0,5,2,43,1,58,0,6,0,7,0,5,1,21,1,33,2
43,0,7,2,9,0,5,3,37,2,54,0,7,1,8,1,4,4,19,3,30,0
29,0,7,0,10,0,6,0,38,1,53,2,7,0,10,1,3,0,23,0,25,0
