17,0,3,0,15,0,19,0,1,1,11,1
5,3,3,4,29,0,9,15,4,10,4,6
17,0,3,0,20,0,30,0,4,0,12,0
13,0,6,0,20,0,10,0,6,0,12,1
26,0,8,0,30,0,26,0,8,0,15,0
14,0,6,1,20,0,17,0,7,2,14,0
17,0,7,0,20,0,31,0,7,0,10,2
14,0,4,0,19,0,19,0,6,0,13,1
14,0,8,0,19,0,17,2,8,0,16,1
6,1,3,1,21,0,18,1,3,1,14,3
11,0,6,1,21,0,38,0,6,0,14,1
19,1,5,1,30,0,16,0,5,1,16,1
2,1,0,0,25,0,6,0,5,1,11,0
3,3,0,2,6,0,12,0,0,2,7,7
17,0,7,0,20,0,22,0,7,1,16,1
13,0,4,0,19,3,14,0,2,0,10,0
16,1,4,1,12,0,17,0,6,0,12,1
3,2,3,0,16,0,5,5,4,1,5,7
9,0,7,0,30,0,10,0,7,0,12,2
7,3,6,0,25,0,29,0,5,1,13,0
19,0,5,1,35,0,33,0,6,2,11,4
9,0,7,0,18,0,8,0,5,0,5,1
6,2,3,1,20,0,21,0,4,1,12,1
4,1,2,1,30,0,30,0,3,2,16,0
7,7,5,0,25,0,8,0,7,0,16,1
8,2,5,0,20,0,12,1,5,0,12,0
7,13,6,0,31,1,0,13,6,0,15,2
19,3,5,0,28,0,25,0,6,1,17,0
3,11,3,0,24,1,22,0,4,0,7,2
6,1,3,0,18,2,6,2,3,0,9,0
13,1,8,0,21,0,13,0,8,0,13,0
13,3,6,1,26,0,28,0,7,1,10,1
3,0,7,0,27,1,22,0,7,0,13,2
6,5,-,-,19,0,11,28,0,1,11,5
23,2,7,3,31,0,48,0,7,3,11,5
22,3,6,0,38,1,21,0,6,0,11,2
16,1,7,1,22,0,30,0,7,2,14,1
22,3,8,3,26,1,28,0,7,4,12,2
8,1,7,0,18,0,22,0,8,0,12,0
16,0,4,0,20,0,32,0,4,1,14,0
25,1,8,1,39,2,64,0,7,2,16,1
15,1,8,0,21,0,60,0,8,1,no,no
16,1,6,1,18,0,28,0,7,0,11,2
23,0,8,0,30,0,41,0,8,0,14,0
27,3,6,0,40,0,48,0,6,0,16,6
19,1,8,0,20,0,27,0,8,0,13,0
8,1,6,1,15,0,23,0,6,2,7,2
2,7,3,0,12,0,22,0,4,1,7,3
14,1,5,2,no,no,45,3,5,0,no,no
12,7,5,1,24,2,22,1,4,1,no,no
20,1,8,0,8,0,39,0,8,0,13,2
17,1,6,0,20,0,28,0,4,4,7,6
15,1,1,0,12,0,32,0,1,0,13,1
16,0,5,1,30,0,16,0,6,3,6,9
17,1,6,0,30,0,30,3,6,0,15,1
4,1,8,0,23,1,12,0,8,0,5,0
20,1,8,0,no,no,26,0,8,0,13,3
17,1,7,0,15,0,16,1,7,0,11,1
17,1,6,0,34,1,38,1,8,1,19,0
29,1,6,0,27,0,25,1,6,0,16,0
24,1,6,3,16,1,16,1,3,2,12,3
14,0,6,0,11,0,22,0,5,0,no,no
8,3,7,0,27,0,26,0,6,1,14,0
9,0,4,1,21,0,34,0,4,1,no,no
19,1,7,0,22,0,70,0,8,0,13,3
18,2,5,0,7,0,40,0,6,0,14,1
24,0,7,0,13,0,35,0,6,0,11,0
23,0,2,0,24,0,35,0,3,0,15,0
26,2,5,1,36,0,48,0,7,1,21,0
13,0,8,0,30,0,32,0,8,0,15,1
25,0,3,0,25,0,48,0,4,1,14,0
15,2,5,0,20,0,25,0,6,1,12,2
12,0,5,0,7,1,22,0,7,1,no,no
18,1,5,0,16,0,53,1,7,0,10,0
12,1,8,0,26,3,25,0,8,0,4,2
8,0,6,0,33,0,33,0,7,1,13,1
12,1,5,1,19,1,13,0,6,6,9,1
19,1,5,1,29,0,46,0,5,1,16,0
15,0,6,0,29,0,29,0,6,0,15,1
16,0,6,0,13,0,48,0,6,1,14,1
8,4,7,2,14,0,32,0,6,1,2,7
25,1,7,1,24,0,36,0,7,1,15,0
17,1,8,0,22,0,23,0,7,1,15,0
15,2,6,0,17,0,24,0,7,2,4,0
15,1,5,2,9,1,34,0,6,2,14,0
19,0,4,0,18,1,44,3,1,0,4,1
7,4,6,0,no,no,30,0,6,0,10,5
18,2,7,0,29,0,39,0,7,0,16,5
26,0,7,0,24,0,33,0,6,2,15,1
8,0,3,0,3,0,13,0,3,0,12,1
13,2,3,0,20,0,15,3,5,0,10,0
19,1,8,0,20,0,23,2,8,0,17,2
22,0,3,0,19,0,24,0,3,0,12,0
11,1,4,0,14,1,1,0,4,0,10,2
27,1,8,0,21,2,21,0,8,1,17,3
20,1,8,0,20,0,13,0,8,0,15,0
15,1,6,0,38,0,34,2,7,1,17,2
11,0,5,0,17,0,11,0,4,0,12,2
17,1,6,1,10,0,25,0,7,0,16,0
28,1,8,0,20,0,30,0,7,2,19,2
21,0,7,2,16,2,14,0,7,1,13,2
19,1,5,0,30,0,17,0,3,0,15,2
25,1,6,0,30,0,23,0,7,0,18,0
23,1,5,0,25,0,18,0,6,1,15,0
19,1,7,0,26,0,24,0,7,0,16,2
9,1,8,0,12,0,18,0,8,0,10,1
19,0,4,0,17,0,21,0,4,0,12,0
21,4,4,0,23,1,21,0,4,0,13,3
17,2,6,1,20,0,22,0,6,1,15,3
12,2,5,0,16,0,26,0,5,0,10,0
28,0,4,1,31,0,35,1,7,2,15,4
24,0,4,0,27,0,21,0,4,0,13,0
12,0,4,0,9,0,4,2,3,0,10,0
12,0,5,0,23,0,0,13,5,0,10,4
10,2,8,0,20,0,18,0,8,0,13,5
23,2,3,0,31,0,19,0,3,0,15,2
18,0,3,0,26,0,22,0,3,0,13,1
17,11,2,0,23,0,-,-,2,0,-,-
19,0,7,0,21,0,18,1,8,0,8,3
29,0,7,0,29,0,30,0,7,1,18,1
23,2,1,7,18,0,20,0,4,4,10,1
20,0,6,0,34,1,25,0,6,0,17,3
19,1,4,2,27,0,28,0,3,1,14,2
11,1,4,0,-,-,21,0,2,2,11,0
30,0,7,0,33,0,33,0,6,0,16,0
14,0,3,0,-,-,23,0,3,0,12,1
21,0,0,5,17,1,22,0,0,5,16,1
14,2,6,3,26,0,24,0,5,4,16,4
17,0,7,0,20,0,14,0,7,0,12,0
6,1,4,0,19,0,12,0,7,1,13,3
20,0,6,1,20,0,18,0,6,1,11,2
27,1,4,1,5,2,15,0,1,0,4,6
26,0,5,2,20,0,32,0,5,1,13,1
23,0,4,0,17,0,31,2,4,1,15,1
29,0,5,0,-,-,24,0,5,1,12,3
24,1,2,0,17,0,25,0,0,1,12,0
